,title,price
54,Apple iPhone 13 A2482 Unlocked 128GB Red C,$379.99
55,"Apple iPhone 6S (Excellent Condition) Factory Unlocked, Verizon, AT&T, T-Mobile",$47.00 to $108.00
56,Apple iPhone 12 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$384.95
57,Apple iPhone 12 mini A2176 Unlocked 64GB Black C,$219.99
58,Apple iPhone 13 Pro Max - 128GB - Graphite. Works Great! 💎,$425.00
59,Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$519.95
60,Apple - iPhone 15 Plus - 128GB - Unlocked - Factory Warranty - All Colors,$969.00
61,Apple iPhone 14 Pro - 128GB - Space Black - SIM LOCKED,$310.00
62,Apple iPhone SE 2020 - 64GB - All Colors - Fully Unlocked - Excellent Condition,$144.99
63,Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Good Condition,$413.00 to $589.00
64,Apple iPhone 14 Pro A2650 Unlocked 128GB Deep Purple Good,$649.99
65,Apple iPhone 12 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$389.95
66,Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,$329.95
67,Apple iPhone 13 Pro Max  128gb Unlocked - Good,$549.99
68,Apple iPhone 11 Pro Max 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$349.95
69,Apple iPhone X - 64GB - Silver (Unlocked) A1865 (CDMA + GSM) - Good,$179.96
70,Apple iPhone 13 128GB (Unlocked) Bundle with MagSafe - All Colors - Excellent,$479.99
71,Apple iPhone 12 mini 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$299.95
72,Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$509.95
73,Apple iPhone 12 - 128/64GB - Blue/White - Unlocked Smartphone Mint Condition,$229.00 to $343.00
74,Apple iPhone 11 - 128GB 64GB - White (Unlocked) A2111 (CDMA + GSM),$173.00 to $359.00
